County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Bedford,08/27/2020,0,0,5,47888,0,0,10.44,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
McKean,06/07/2020,0,0,1,40625,0,0,2.46,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Clinton,09/21/2020,0,0,6,38632,0,0,15.53,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Lancaster,04/08/2020,6,4.3,34,545724,1.1,0.79,6.23,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Butler,06/02/2020,0,0,12,187853,0,0,6.39,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Columbia,07/05/2020,0,0.1,35,64964,0,0.22,53.88,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Bradford,12/03/2020,0,0.7,45,60323,0,1.18,74.6,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Wyoming,07/06/2020,0,0,7,26794,0,0,26.13,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Carbon,04/18/2020,0,0.6,9,64182,0,0.89,14.02,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Mifflin,10/29/2020,0,0,4,46138,0,0,8.67,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
